cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,strength
407.0535032918634,136.3384576995416,16.265268817989266,146.67087270278253,29.503728391628083,1102.4633520294815,616.9627029587281,283.37597293436403,60.68199782643747
227.3290287082662,69.30664329137818,148.00208504902486,177.5813850648958,16.17832447782638,948.3568271742988,950.1651213001177,108.5066171531785,42.56622541513187
201.36093666112095,16.201719038612698,62.79288994293309,236.9268558163606,31.775376194046427,810.1389574534879,841.034940683845,7.5254410273109364,23.733886074676285
343.4758688583064,61.37782885532473,44.224082171608025,203.13224163771366,8.66856241965515,1031.0036738089575,978.0780185540764,274.1944955004775,36.66963243030467
417.1274087660766,116.3391211686576,51.76238895807077,209.3739830166054,19.29785809384854,1100.727947385096,885.1986557044273,109.58775745190444,49.31911220381544
287.3206295345139,206.1659224308909,179.25935813589638,242.2427394158183,30.93984444332864,1029.1072921199323,907.7278869470705,100.41745723841643,49.692463411845594
531.5747188924615,238.94624125650577,121.02137243510795,195.20191911354306,24.151000763415148,1061.2877167812303,808.3760569759183,139.46962117443297,70.77260020010928
401.9554255001701,15.371993786080965,129.94262863291266,230.6877265950457,22.140740265354154,1116.6888598731803,978.0115893721993,169.41017135233966,46.553131944808314
312.6481728501501,336.08865704658723,43.424738713302325,246.04578187891877,23.771733788485317,937.4238622604553,874.164564569098,293.9126812302288,46.85239943196341
273.747472969038,84.59416580518943,71.99262040572343,206.2089283939406,10.570704027620039,1102.457572780259,760.8736750884975,59.01733380795407,30.29906384370493
252.3119710740808,53.51326075296654,162.09660437423855,207.28221897225808,9.302926999737569,1058.721607154518,621.4613422617273,194.92204450784843,27.149631902640582
421.3237718342102,190.56776682836195,68.0350460118176,143.80968526499285,4.629580603175214,860.928888364178,983.1982048353897,4.514731650728233,63.11930957474786
294.09464316967546,243.2533090225425,162.53013185496482,179.346879769368,19.307668372578522,850.9651461640993,944.9622286297929,23.63268158876036,60.732800957568756
128.13891871499095,110.30375138020337,39.99696302542033,213.9666743797206,29.516988507673144,798.8897997895626,847.3567972686149,238.84989198674282,19.736421377345742
276.34338383472897,240.32939752934365,146.47512097510887,164.16502040307034,24.478342089097204,999.009075729067,813.6573400456325,338.70434310917835,65.01906862944277
425.24198771063163,105.65149323232174,23.36219718688397,135.72089491261792,31.553489295048784,1094.6281591973047,836.5311700234836,23.025242635600534,67.14423254411973
181.93137793863298,323.8795757378728,164.47707384118323,123.63637341689396,31.738186799495313,744.6276215512949,942.3044880791432,99.53870457448974,64.82915992558252
178.84786919260173,316.16941064447303,134.5424027512043,205.25982522834835,13.890210176570939,961.0246088534743,961.7571029967955,33.54312514007299,40.54411998897971
334.8195017427252,25.558781250025394,191.463559848609,125.19268276831303,16.537031087991785,1013.4202485283804,709.8824787394958,17.162266770589266,58.89273200540021
334.94048314842735,53.99450475037822,5.904423667459002,182.51952616484917,26.36956616219017,1064.2511259615085,714.9231039153228,216.35757007335778,40.53159895293115
379.8676198454786,250.60306832685205,26.371413291150315,232.2214480404545,24.497932936835078,951.5861137116451,613.405838011314,321.7033199707255,41.02724436776388
474.0511258060718,0.04311643454198899,5.454923639047271,224.8234376855682,24.797708239443935,996.5114795426223,988.1614998489665,44.96206855741948,48.59539347931988
419.31143228895826,295.03108779458876,3.3500544186236825,211.64192890539005,17.8422881936384,936.7387202064042,978.1760712257865,214.55665144403287,49.68670055602675
